Post-OCR Excelsior 1929-1932 - Llama 3.2 + patrones Diana/Irene
Inicio: 2026-09-21T20:10:28.901406
pagina,procesadas,corr_directas,corr_llm
1413_p312,90,2,0
1414_p313,75,1,0
1415_p314,78,9,0
1416_p315,49,2,0
1417_p316,57,4,0
1418_p317,4,1,0
1419_p318,11,0,0
1420_p319,23,1,0
1421_p320,71,2,0
1422_p321,16,0,0
1423_p322,13,1,0
1424_p323,49,1,0
1425_p324,2,0,0
1426_p325,11,0,0
1427_p326,68,2,0
1428_p327,90,3,0
1429_p328,111,2,0
1430_p329,81,4,0
1431_p330,9,0,0
1432_p331,8,0,0
1433_p332,62,0,0
1434_p333,63,0,0
1435_p334,81,0,0
1436_p335,83,0,0
1437_p336,55,0,0
1438_p337,35,1,0
1439_p338,42,0,0
1440_p339,45,0,0
1441_p340,66,0,0
1442_p341,112,1,0
1443_p342,91,1,0
1444_p343,78,3,0
1445_p344,55,0,0
1446_p345,11,0,0
1447_p346,53,3,0
1448_p347,62,3,0
1449_p348,52,2,0
1450_p349,66,1,0
1451_p350,84,1,0
1452_p351,60,2,0
1453_p352,86,2,0
1454_p353,45,0,0
1455_p354,107,0,0
1456_p355,51,0,0
1457_p356,55,2,0
1458_p357,10,0,0
1459_p358,7,0,0
1460_p359,24,0,0
1461_p360,91,0,0
1462_p361,8,0,0
1463_p362,8,0,0
1464_p363,86,4,0
1465_p364,108,2,0
1466_p365,103,2,0
1467_p366,39,0,0
1468_p367,21,0,0
1469_p368,2,0,0
1470_p369,74,4,0
1471_p370,66,1,0
1472_p371,74,1,0
1473_p372,35,0,0
1474_p373,11,0,0
1475_p374,56,3,0
